date,Gold_Rum
2019-11-01,647.45
2019-11-04,505.96000000000004
2019-11-05,478.19
2019-11-06,500.77
2019-11-07,455.45000000000005
2019-11-08,364.21999999999997
2019-11-11,277.65
2019-11-12,505.2700000000001
2019-11-13,331.25
2019-11-14,331.72
2019-11-15,138.8
2019-11-16,379.79999999999995
2019-11-18,479.35
2019-11-19,564.62
2019-11-20,420.45
2019-11-21,341.7
2019-11-22,177.72
2019-11-23,368.35
2019-11-25,414.02000000000004
2019-11-26,681.54
2019-11-27,504.75000000000006
2019-11-29,378.87
2019-11-30,153.25
2019-12-02,313.91
2019-12-03,327.1
2019-12-04,341.85
2019-12-05,393.72
2019-12-06,515.1400000000001
2019-12-09,428.35
2019-12-10,387.17000000000007
2019-12-11,486.84000000000003
2019-12-12,537.4
2019-12-13,545.85
2019-12-16,609.87
2019-12-17,529.69
2019-12-18,619.6
2019-12-19,438.91000000000008
2019-12-20,661.55000000000007
2019-12-23,317.82
2019-12-24,368.36
2019-12-26,539.17
2019-12-27,554.17000000000007
2019-12-28,368.36
2019-12-30,270.77
2019-12-31,349.44
2020-01-02,465.95
2020-01-03,494.6
2020-01-06,289.47
2020-01-07,394.3300000000001
2020-01-08,346.0
2020-01-09,244.8
2020-01-10,406.59999999999997
2020-01-13,226.35000000000002
2020-01-14,275.77
2020-01-15,360.04
2020-01-16,317.05
2020-01-17,398.70000000000005
2020-01-20,428.49
2020-01-21,370.07
2020-01-22,372.68999999999994
2020-01-23,364.55
2020-01-24,414.35
2020-01-27,520.15
2020-01-28,387.45
2020-01-29,374.45
2020-01-30,275.75
2020-01-31,324.62
2020-02-03,368.3
2020-02-04,473.97
2020-02-05,264.57
2020-02-06,369.17
2020-02-07,388.54999999999995
2020-02-10,323.5
2020-02-11,322.91
2020-02-12,243.95000000000002
2020-02-13,230.35000000000002
2020-02-14,395.95
2020-02-17,285.91
2020-02-18,406.14000000000004
2020-02-19,270.77000000000004
2020-02-20,416.75
2020-02-21,310.90000000000003
2020-02-24,367.35
2020-02-25,453.04
2020-02-26,313.5
2020-02-27,419.3
2020-02-28,332.96999999999997
2020-03-02,378.24
2020-03-03,415.0100000000001
2020-03-04,365.15000000000003
2020-03-05,362.82
2020-03-06,492.52
2020-03-09,397.42
2020-03-10,496.54000000000008
2020-03-11,435.95
2020-03-12,466.21999999999997
2020-03-13,402.81
2020-03-16,426.77
2020-03-17,532.92
2020-03-18,591.1
2020-03-19,385.05000000000007
2020-03-20,650.50000000000011
2020-03-23,562.62
2020-03-24,524.64
2020-03-25,435.91999999999996
2020-03-26,339.6
2020-03-27,607.92000000000007
2020-03-30,373.8
2020-03-31,414.97
2020-04-01,451.90000000000003
2020-04-02,211.35
2020-04-03,527.27
2020-04-06,492.34
2020-04-07,665.18999999999994
2020-04-08,480.37
2020-04-09,398.3
2020-04-10,527.95
2020-04-13,451.62
2020-04-14,508.29
2020-04-15,493.12
2020-04-16,454.6
2020-04-17,441.64000000000004
2020-04-20,290.41999999999996
2020-04-21,433.24000000000007
2020-04-22,444.0
2020-04-23,350.55
2020-04-24,618.07
2020-04-27,565.44
2020-04-28,435.17
2020-04-29,484.75
2020-04-30,311.8
2020-05-01,407.21999999999997
2020-05-04,519.24
2020-05-05,800.97
2020-05-06,522.37
2020-05-07,239.5
2020-05-08,303.34999999999997
2020-05-11,437.90000000000003
2020-05-12,651.97000000000014
2020-05-13,731.85
2020-05-14,610.69
2020-05-15,621.34
2020-05-18,472.34000000000003
2020-05-19,479.82000000000005
2020-05-20,439.59
2020-05-21,346.62
2020-05-22,464.95000000000005
2020-05-26,420.99
2020-05-27,585.09
2020-05-28,619.04000000000008
2020-05-29,713.8
2020-06-01,423.54999999999995
2020-06-02,438.59
2020-06-03,553.52
2020-06-04,299.74
2020-06-05,459.27000000000004
2020-06-08,606.84
2020-06-09,545.17
2020-06-10,598.95
2020-06-11,351.54
2020-06-12,568.2
2020-06-15,447.57000000000005
2020-06-16,373.42
2020-06-17,510.7
2020-06-18,342.72
2020-06-19,404.67
2020-06-22,381.29000000000008
2020-06-23,629.84
2020-06-24,549.55
2020-06-25,281.12
2020-06-26,573.9
2020-06-29,507.0
2020-06-30,423.12
2020-07-01,483.90000000000003
2020-07-02,233.37
2020-07-03,521.32000000000016
2020-07-06,312.67
2020-07-07,393.31000000000006
2020-07-08,501.8
2020-07-09,289.0
